Symbol,Date,Open,High,Low,Close,Volume
AXU,20-May-2015,0.52,0.53,0.5,0.5,249500
AXU,21-May-2015,0.5,0.51,0.47,0.47,150500
AXU,22-May-2015,0.47,0.49,0.47,0.48,113000
AXU,25-May-2015,0.48,0.48,0.48,0.48,0
AXU,26-May-2015,0.47,0.48,0.46,0.46,57700
AXU,27-May-2015,0.47,0.5,0.46,0.46,122300
AXU,28-May-2015,0.47,0.47,0.45,0.45,44200
AXU,29-May-2015,0.46,0.52,0.45,0.49,145400
AXU,01-Jun-2015,0.5,0.5,0.45,0.46,149400
AXU,02-Jun-2015,0.47,0.48,0.46,0.48,51800
AXU,03-Jun-2015,0.48,0.48,0.44,0.45,190800
AXU,04-Jun-2015,0.45,0.46,0.42,0.43,191900
AXU,05-Jun-2015,0.42,0.43,0.41,0.41,85500
AXU,08-Jun-2015,0.4,0.42,0.4,0.41,39200
AXU,09-Jun-2015,0.41,0.42,0.4,0.41,119300
AXU,10-Jun-2015,0.42,0.42,0.4,0.41,58900
AXU,11-Jun-2015,0.4,0.42,0.4,0.4,54700
AXU,12-Jun-2015,0.39,0.44,0.39,0.41,88400
AXU,15-Jun-2015,0.41,0.45,0.4,0.44,57800
AXU,16-Jun-2015,0.43,0.45,0.41,0.41,163100
AXU,17-Jun-2015,0.42,0.43,0.39,0.4,174000
AXU,18-Jun-2015,0.4,0.43,0.4,0.42,85300
AXU,19-Jun-2015,0.41,0.44,0.4,0.42,121500
AXU,22-Jun-2015,0.42,0.44,0.41,0.41,33400
AXU,23-Jun-2015,0.41,0.41,0.39,0.39,56100
AXU,24-Jun-2015,0.39,0.4,0.35,0.36,479400
AXU,25-Jun-2015,0.36,0.38,0.35,0.36,115800
AXU,26-Jun-2015,0.36,0.38,0.35,0.37,110500
AXU,29-Jun-2015,0.38,0.38,0.36,0.36,56600
AXU,30-Jun-2015,0.36,0.37,0.32,0.34,277600
AXU,01-Jul-2015,0.35,0.35,0.33,0.34,110000
AXU,02-Jul-2015,0.34,0.34,0.33,0.34,105800
AXU,03-Jul-2015,0.34,0.34,0.34,0.34,0
AXU,06-Jul-2015,0.34,0.37,0.34,0.34,194200
AXU,07-Jul-2015,0.34,0.34,0.31,0.32,168100
AXU,08-Jul-2015,0.32,0.33,0.32,0.32,98700
AXU,09-Jul-2015,0.32,0.33,0.31,0.33,70600
AXU,10-Jul-2015,0.32,0.34,0.32,0.34,91400
AXU,13-Jul-2015,0.34,0.36,0.33,0.35,133200
AXU,14-Jul-2015,0.35,0.36,0.34,0.35,51300
AXU,15-Jul-2015,0.35,0.36,0.33,0.35,74600
AXU,16-Jul-2015,0.35,0.35,0.33,0.35,31600
AXU,17-Jul-2015,0.35,0.35,0.32,0.34,142800
AXU,20-Jul-2015,0.32,0.33,0.31,0.31,402500
AXU,21-Jul-2015,0.31,0.34,0.3,0.32,186600
AXU,22-Jul-2015,0.32,0.32,0.3,0.31,160400
AXU,23-Jul-2015,0.32,0.33,0.31,0.32,86000
AXU,24-Jul-2015,0.32,0.32,0.29,0.31,531800
AXU,27-Jul-2015,0.31,0.33,0.29,0.29,158100
AXU,28-Jul-2015,0.3,0.32,0.3,0.31,227100
AXU,29-Jul-2015,0.31,0.33,0.31,0.32,135500
AXU,30-Jul-2015,0.32,0.33,0.31,0.32,100200
AXU,31-Jul-2015,0.32,0.33,0.31,0.31,114000
AXU,03-Aug-2015,0.31,0.33,0.31,0.31,35400
AXU,04-Aug-2015,0.31,0.33,0.3,0.31,68400
AXU,05-Aug-2015,0.31,0.32,0.3,0.3,62000
AXU,06-Aug-2015,0.31,0.33,0.3,0.31,124000
AXU,07-Aug-2015,0.32,0.33,0.32,0.32,164200
AXU,10-Aug-2015,0.32,0.33,0.32,0.33,109000
AXU,11-Aug-2015,0.34,0.34,0.33,0.33,76900
AXU,12-Aug-2015,0.33,0.38,0.33,0.38,345300
AXU,13-Aug-2015,0.37,0.37,0.34,0.35,123500
AXU,14-Aug-2015,0.36,0.36,0.34,0.35,90000
AXU,17-Aug-2015,0.35,0.37,0.35,0.35,235800
AXU,18-Aug-2015,0.34,0.35,0.33,0.35,104800
AXU,19-Aug-2015,0.36,0.37,0.34,0.37,131000
AXU,20-Aug-2015,0.37,0.37,0.35,0.36,161300
AXU,21-Aug-2015,0.37,0.37,0.36,0.36,111200
AXU,24-Aug-2015,0.34,0.35,0.33,0.34,116900
AXU,25-Aug-2015,0.34,0.35,0.33,0.33,105800
AXU,26-Aug-2015,0.33,0.33,0.3,0.31,222700
AXU,27-Aug-2015,0.31,0.33,0.3,0.31,153300
AXU,28-Aug-2015,0.32,0.33,0.3,0.3,196700
AXU,31-Aug-2015,0.31,0.32,0.3,0.31,126700
AXU,01-Sep-2015,0.32,0.32,0.3,0.31,134500
AXU,02-Sep-2015,0.31,0.32,0.31,0.31,109900
AXU,03-Sep-2015,0.31,0.33,0.31,0.33,57500
